,hs6,hs6_name
575,340220,Preparations_put_up_for_retail_sale
576,340290,Other
577,340319,Other
578,340490,Other
579,350300,Gelatin_(including_gelatin_in_rectangular_(including_square)_sheets__whether_or_not_surface-worked_or_coloured)_and_gelatin_derivatives;_isinglass;_other_glues_of_animal_origin__excluding_casein_glues_of_heading_35.01.
580,350400,Peptones_and_their_derivatives;_other_protein_substances_and_their_derivatives__not_elsewhere_specified_or_included;_hide_powder__whether_or_not_chromed.
581,350510,Dextrins_and_other_modified_starches
582,360300,Safety_fuses;_detonating_fuses;_percussion_or_detonating_caps;_igniters;_electric_detonators_.
583,360410,Fireworks
584,360500,Matches__other_than_pyrotechnic_articles_of_heading_36.04.
585,370110,For_X-ray
586,370120,Instant_print_film
587,370130,Other_plates_and_film__with_any_side_exceeding_255_mm
588,370254,Of_a_width_exceeding_16_mm_but_not_exceeding_35_mm_and_of_a_length_not_exceeding_30_m__other_than_for_slides
589,370310,In_rolls_of_a_width_exceeding_610_mm
590,380590,Other
591,380891,Insecticides
592,380892,Fungicides
593,380893,Herbicides__anti-sprouting_products_and_plant-growth_regulators
594,380991,Of_a_kind_used_in_the_textile_or_like_industries
595,381190,Other
596,381230,Anti-oxidising_preparations_and_other_compound_stabilisers_for_rubber_or_plastics
597,381512,With_precious_metal_or_precious_metal_compounds_as_the_active_substance
598,381519,Other
599,381590,Other
600,381600,Refractory_cements__mortars__concretes_and_similar_compositions__other_than_products_of_heading_38.01.
601,381800,Chemical_elements_doped_for_use_in_electronics__in_the_form_of_discs__wafers_or_similar_forms;_chemical_compounds_doped_for_use_in_electronics.
602,382430,Non-agglomerated_metal_carbides_mixed_together_or_with_metallic_binders
603,382478,Containing_perfluorocarbons_(PFCs)_or_hydrofluorocarbons_(HFCs)__but_not_containing_chlorofluorocarbons_(CFCs)_or_hydrochlorofluorocarbons_(HCFCs)
604,382490,Other
605,382590,Other
606,390110,Polyethylene_having_a_specific_gravity_of_less_than_0.94
607,390120,Polyethylene_having_a_specific_gravity_of_0.94_or_more
608,390130,Ethylene-vinyl_acetate_copolymers
609,390190,Other
610,390210,Polypropylene
611,390220,Polyisobutylene
